DH pulldown column	DH pulldown option	description	term_id	old SNTC name	MIxS see also	notes
> enum	permissible_value	description	ignore	annotations	see_also	notes
>				inner_key: sntc_name	"internal_separator: ""|"""	"internal_separator: ""|"""
AnalysisTypeEnum	metabolomics	placeholder PV descr				
AnalysisTypeEnum	metagenomics	placeholder PV descr				
AnalysisTypeEnum	metaproteomics	placeholder PV descr				
AnalysisTypeEnum	metatranscriptomics	placeholder PV descr				
AnalysisTypeEnum	natural organic matter	placeholder PV descr				
AnalysisTypeEnum		placeholder enum descr				
BioticRelationshipEnum	commensalism	placeholder PV descr		samp_biotic_relationship	https://genomicsstandardsconsortium.github.io/mixs/biotic_relationship_enum/	biotic_relationship_enum: free living|parasitism|commensalism|symbiotic|mutualism
BioticRelationshipEnum	free living	placeholder PV descr				
BioticRelationshipEnum	mutualism	placeholder PV descr				
BioticRelationshipEnum	parasitism	placeholder PV descr				
BioticRelationshipEnum	symbiotic	placeholder enum descr				
BioticRelationshipEnum		placeholder enum descr				
JgiContTypeEnum	plate	placeholder PV descr				
JgiContTypeEnum	tube	placeholder PV descr				
JgiContTypeEnum		placeholder enum descr				
DnaSampleFormatEnum	10 mM Tris-HCl	placeholder PV descr				
DnaSampleFormatEnum	DNAStable	placeholder PV descr				
DnaSampleFormatEnum	Ethanol	placeholder PV descr				
DnaSampleFormatEnum	Low EDTA TE	placeholder PV descr				
DnaSampleFormatEnum	MDA reaction buffer	placeholder PV descr				
DnaSampleFormatEnum	PBS	placeholder PV descr				
DnaSampleFormatEnum	Pellet	placeholder PV descr				
DnaSampleFormatEnum	RNAStable	placeholder PV descr				
DnaSampleFormatEnum	TE	placeholder PV descr				
DnaSampleFormatEnum	Water	placeholder PV descr				
DnaSampleFormatEnum		placeholder enum descr				
EcosystemCategoryEnum	Terrestrial	placeholder PV descr			https://github.com/microbiomedata/sheets_and_friends/issues/22	
EcosystemCategoryEnum		placeholder enum descr				
EcosystemEnum	Environmental	placeholder PV descr				
EcosystemEnum		placeholder enum descr				
EcosystemSubtypeEnum	Biocrust	placeholder PV descr				
EcosystemSubtypeEnum	Biofilm	placeholder PV descr				
EcosystemSubtypeEnum	Bulk soil	placeholder PV descr				
EcosystemSubtypeEnum	Clay	placeholder PV descr				
EcosystemSubtypeEnum	Floodplain	placeholder PV descr				
EcosystemSubtypeEnum	Fossil	placeholder PV descr				
EcosystemSubtypeEnum	Glacier	placeholder PV descr				
EcosystemSubtypeEnum	Loam	placeholder PV descr				
EcosystemSubtypeEnum	Mineral horizon	placeholder PV descr				
EcosystemSubtypeEnum	Nature reserve	placeholder PV descr				
EcosystemSubtypeEnum	Organic layer	placeholder PV descr				
EcosystemSubtypeEnum	Paddy field/soil	placeholder PV descr				
EcosystemSubtypeEnum	Pasture	placeholder PV descr				
EcosystemSubtypeEnum	Peat	placeholder PV descr				
EcosystemSubtypeEnum	Ranch	placeholder PV descr				
EcosystemSubtypeEnum	Sand	placeholder PV descr				
EcosystemSubtypeEnum	Silt	placeholder PV descr				
EcosystemSubtypeEnum	Soil crust	placeholder PV descr				
EcosystemSubtypeEnum	Unclassified	placeholder PV descr				
EcosystemSubtypeEnum	Watershed	placeholder PV descr				
EcosystemSubtypeEnum	Wetlands	placeholder PV descr				
EcosystemSubtypeEnum		placeholder enum descr				
EcosystemTypeEnum	Soil	placeholder PV descr				
EcosystemTypeEnum		placeholder enum descr				
EnvPackageEnum	soil	placeholder PV descr				I don't think this is a MIxS term anymore, so it make sense to define it here
EnvPackageEnum		placeholder enum descr				
GrowthFacilEnum	experimental_garden	placeholder PV descr		growth_facility	https://genomicsstandardsconsortium.github.io/mixs/growth_facil/	string range according to MIxS
GrowthFacilEnum	field	placeholder PV descr				
GrowthFacilEnum	field_incubation	placeholder PV descr				
GrowthFacilEnum	glasshouse	placeholder PV descr				
GrowthFacilEnum	greenhouse	placeholder PV descr				
GrowthFacilEnum	growth_chamber	placeholder PV descr				
GrowthFacilEnum	lab_incubation	placeholder PV descr				
GrowthFacilEnum	open_top_chamber	placeholder PV descr				
GrowthFacilEnum	other	placeholder PV descr				
GrowthFacilEnum		placeholder enum descr				
RelToOxygenEnum	aerobe	placeholder PV descr		oxygen_relationship	https://genomicsstandardsconsortium.github.io/mixs/rel_to_oxygen_enum/	
RelToOxygenEnum	anaerobe	placeholder PV descr				
RelToOxygenEnum	facultative	placeholder PV descr				
RelToOxygenEnum	microaerophilic	placeholder PV descr				
RelToOxygenEnum	microanaerobe	placeholder PV descr				
RelToOxygenEnum	obligate aerobe	placeholder PV descr				
RelToOxygenEnum	obligate anaerobe	placeholder PV descr				
RelToOxygenEnum		placeholder enum descr				
RnaSampleFormatEnum	10 mM Tris-HCl	placeholder PV descr				
RnaSampleFormatEnum	DNAStable	placeholder PV descr				
RnaSampleFormatEnum	Ethanol	placeholder PV descr				
RnaSampleFormatEnum	Low EDTA TE	placeholder PV descr				
RnaSampleFormatEnum	MDA reaction buffer	placeholder PV descr				
RnaSampleFormatEnum	PBS	placeholder PV descr				
RnaSampleFormatEnum	Pellet	placeholder PV descr				
RnaSampleFormatEnum	RNAStable	placeholder PV descr				
RnaSampleFormatEnum	TE	placeholder PV descr				
RnaSampleFormatEnum	Water	placeholder PV descr				
RnaSampleFormatEnum		placeholder enum descr				
SampleTypeEnum	soil	placeholder PV descr				
SampleTypeEnum	water_extract_soil	placeholder PV descr				
SampleTypeEnum		placeholder enum descr				
SpecificEcosystemEnum	Agricultural	placeholder PV descr				
SpecificEcosystemEnum	Agricultural land	placeholder PV descr				
SpecificEcosystemEnum	Agricultural soil	placeholder PV descr				
SpecificEcosystemEnum	Alpine	placeholder PV descr				
SpecificEcosystemEnum	Bog	placeholder PV descr				
SpecificEcosystemEnum	Boreal forest	placeholder PV descr				
SpecificEcosystemEnum	Contaminated	placeholder PV descr				
SpecificEcosystemEnum	Desert	placeholder PV descr				
SpecificEcosystemEnum	Farm	placeholder PV descr				
SpecificEcosystemEnum	Forest soil	placeholder PV descr				
SpecificEcosystemEnum	Forest Soil	placeholder PV descr				
SpecificEcosystemEnum	Grasslands	placeholder PV descr				
SpecificEcosystemEnum	Meadow	placeholder PV descr				
SpecificEcosystemEnum	Mine	placeholder PV descr				
SpecificEcosystemEnum	Mine drainage	placeholder PV descr				
SpecificEcosystemEnum	Oil-contaminated	placeholder PV descr				
SpecificEcosystemEnum	Orchard soil	placeholder PV descr				
SpecificEcosystemEnum	Permafrost	placeholder PV descr				
SpecificEcosystemEnum	Riparian soil	placeholder PV descr				
SpecificEcosystemEnum	River	placeholder PV descr				
SpecificEcosystemEnum	Shrubland	placeholder PV descr				
SpecificEcosystemEnum	Tropical rainforest	placeholder PV descr				
SpecificEcosystemEnum	Unclassified	placeholder PV descr				
SpecificEcosystemEnum	Uranium contaminated	placeholder PV descr				
SpecificEcosystemEnum		placeholder enum descr				
StoreCondEnum	fresh	placeholder PV descr		storage_condt		see samp_store_dur, samp_store_loc, samp_store_temp and store_cond (which takes a string range according to mixs-source).
StoreCondEnum	frozen	placeholder PV descr				
StoreCondEnum	lyophilized	placeholder PV descr				
StoreCondEnum	other	placeholder PV descr				
StoreCondEnum		placeholder enum descr				
YesNoEnum	no					
YesNoEnum	yes					
YesNoEnum		replaces DnaDnaseEnum and DnaseRnaEnum				
EnvBroadScaleSoilEnum		placeholder enum descr, DO NOT SORT				
EnvBroadScaleSoilEnum	arid biome [ENVO:01001838]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	subalpine biome [ENVO:01001837]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	montane biome [ENVO:01001836]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	____montane savanna biome [ENVO:01000223]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	____montane shrubland biome [ENVO:01000216]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	alpine biome [ENVO:01001835]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	____alpine tundra biome [ENVO:01001505]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	subpolar biome [ENVO:01001834]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	subtropical biome [ENVO:01001832]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	____mediterranean biome [ENVO:01001833]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	________mediterranean savanna biome [ENVO:01000229]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	________mediterranean shrubland biome [ENVO:01000217]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	________mediterranean woodland biome [ENVO:01000208]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	____subtropical woodland biome [ENVO:01000222]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	________mediterranean woodland biome [ENVO:01000208]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	____subtropical shrubland biome [ENVO:01000213]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	________mediterranean shrubland biome [ENVO:01000217]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	____subtropical savanna biome [ENVO:01000187]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	________mediterranean savanna biome [ENVO:01000229]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	temperate biome [ENVO:01001831]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	____temperate woodland biome [ENVO:01000221]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	____temperate shrubland biome [ENVO:01000215]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	____temperate savanna biome [ENVO:01000189]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	tropical biome [ENVO:01001830]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	____tropical woodland biome [ENVO:01000220]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	____tropical shrubland biome [ENVO:01000214]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	____tropical savanna biome [ENVO:01000188]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	polar biome [ENVO:01000339]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	terrestrial biome [ENVO:00000446]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	____anthropogenic terrestrial biome [ENVO:01000219]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	________dense settlement biome [ENVO:01000248]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	____________urban biome [ENVO:01000249]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	________rangeland biome [ENVO:01000247]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	________village biome [ENVO:01000246]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	____mangrove biome [ENVO:01000181]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	____tundra biome [ENVO:01000180]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	________alpine tundra biome [ENVO:01001505]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	____shrubland biome [ENVO:01000176]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	________tidal mangrove shrubland [ENVO:01001369]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	________xeric shrubland biome [ENVO:01000218]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	________montane shrubland biome [ENVO:01000216]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	________temperate shrubland biome [ENVO:01000215]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	________tropical shrubland biome [ENVO:01000214]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	________subtropical shrubland biome [ENVO:01000213]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	____________mediterranean shrubland biome [ENVO:01000217]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	____woodland biome [ENVO:01000175]	placeholder PV descr, DO NOT SORT				
EnvBroadScaleSoilEnum	________subtropical woodland biome [ENVO:01000222]	placeholder PV descr, DO NOT SORT				
