class	slot	action	target	path	LinkML implementation notes	value
PlantAssociatedInterface|SoilInterface	air_temp_regm	replace_attribute	recommended			true
SoilInterface	al_sat	replace_attribute	description			The relative abundance of aluminum in the sample
SoilInterface	al_sat	replace_attribute	string_serialization			{percentage}
SoilInterface	al_sat	overwrite_examples	examples			27%
SoilInterface	al_sat	replace_attribute	title			aluminum saturation/ extreme unusual properties
SoilInterface	al_sat	add_attribute	todos			This is no longer matching the listed IRI from GSC. When NMDC has its own slots, map this to the MIxS slot|Example & validation. Can we make rules that 27% & 27 % & 0.27 will validate?|I think it's weird the way GSC writes the title. I recommend this change. Thoughts? I would argue this isn't an extreme unusual property. It's just a biogeochemical measurement.
SoilInterface	al_sat_meth	replace_attribute	description			Reference or method used in determining Aluminum saturation
SoilInterface	al_sat_meth	overwrite_examples	examples			https://doi.org/10.1371/journal.pone.0176357
SoilInterface	al_sat_meth	replace_attribute	title			aluminum saturation method/ extreme unusual properties
SoilInterface	al_sat_meth	add_attribute	todos			This is no longer matching the listed IRI from GSC. When NMDC has its own slots, map this to the MIxS slot|I think it's weird the way GSC writes the title. I recommend this change. Thoughts?
AirInterface|BiofilmInterface|BuiltEnvInterface|HostAssociatedInterface|MiscEnvsInterface	alt	replace_attribute	recommended			true
DhMultiviewCommonColumnsMixin	analysis_type	replace_attribute	required			true
DhMultiviewCommonColumnsMixin	analysis_type	replace_attribute	recommended			false
SoilInterface	annual_precpt	overwrite_examples	examples			8.94 inch
SoilInterface	annual_precpt	add_attribute	todos			This is no longer matching the listed IRI from GSC, added example. When NMDC has its own slots, map this to the MIxS slot
PlantAssociatedInterface|SoilInterface	biotic_regm	replace_attribute	recommended			true
BuiltEnvInterface	built_struc_age	overwrite_examples	examples			15 years
SoilInterface	bulk_elect_conductivity	overwrite_examples	examples			0.017 mS/cm
BiofilmInterface|SedimentInterface|SoilInterface|WaterInterface	carb_nitro_ratio	replace_attribute	range			float
BiofilmInterface|SedimentInterface|SoilInterface|WaterInterface	carb_nitro_ratio	remove_attribute	pattern
AirInterface|BiofilmInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface|WaterInterface	chem_administration	replace_attribute	pattern			^(\S+.*\S+ \[[A-za-z]+:\d+\];[12]\d{3}(?:(?:-(?:0[1-9]|1[0-2]))(?:-(?:0[1-9]|[12]\d|3[01]))?)?\|)*(\S+.*\S+ \[[A-za-z]+:\d+\];[12]\d{3}(?:(?:-(?:0[1-9]|1[0-2]))(?:-(?:0[1-9]|[12]\d|3[01]))?)?)$
AirInterface|BiofilmInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface|WaterInterface	chem_administration	replace_attribute	range			string
AirInterface|BiofilmInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface|WaterInterface	chem_administration	replace_attribute	recommended			true
PlantAssociatedInterface|SoilInterface	climate_environment	replace_attribute	recommended			true
PlantAssociatedInterface|SoilInterface	climate_environment	add_attribute	todos			"description says ""can include multiple climates"" but multivalued is set to false|add examples, i need to see some examples to add correctly formatted example."
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface|WaterInterface	collection_date	replace_attribute	description			The date of sampling
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface|WaterInterface	collection_date	overwrite_examples	examples			2021-04-15|2021-04|2021
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface|WaterInterface	collection_date	add_attribute	notes			MIxS collection_date accepts (truncated) ISO8601. DH taking arb prec date only
